Вычисления для омега=0.9500000000000001
0.0	0.0	0.0	0.0000000000
0.1	-0.03280753484077461	-0.030611613897426608	0.0021959209
0.2	-0.06286050029503505	-0.05875716178733931	0.0041033385
0.30000000000000004	-0.0857912324748252	-0.08028314655127036	0.0055080859
0.4	-0.0980228541111562	-0.09174638463749414	0.0062764695
0.5	-0.0983278341557163	-0.09196285699837914	0.0063649772
0.6000000000000001	-0.08814622942633094	-0.08233090570884126	0.0058153237
0.7000000000000001	-0.07082162086180557	-0.06608412167253964	0.0047374992
0.8	-0.04999537317492015	-0.046706874165614434	0.0032884990
0.9	-0.02737249058412261	-0.025723895478526417	0.0016485951
1.0	0.0	0.0	0.0000000000
Количество итераций: 49
